Время, с;Напряжение, В;Ток, А
49.507999420166;-2.300563097;-0.024020271376
49.687999725342;-2.300563097;-0.024005182087
49.868000030518;-2.300563097;-0.024005182087
50.048000335693;-2.300563097;-0.023990094662
50.228000640869;-2.300563097;-0.023990094662
50.408000946045;-2.300563097;-0.023990094662
50.588001251221;-2.300563097;-0.023975007236
50.768001556396;-2.300563097;-0.023959917948
50.948001861572;-2.300563097;-0.023944830522
51.127998352051;-2.300563097;-0.023944830522
51.307998657227;-2.300563097;-0.023944830522
51.487998962402;-2.300563097;-0.023944830522
51.667999267578;-2.300563097;-0.023944830522
51.847999572754;-2.300563097;-0.023944830522
52.02799987793;-2.300563097;-0.023944830522
52.208000183105;-2.300563097;-0.023944830522
52.388000488281;-2.300563097;-0.023929743096
52.568000793457;-2.300563097;-0.023929743096
52.748001098633;-2.300563097;-0.023929743096
52.928001403809;-2.300563097;-0.023914653808
53.108001708984;-2.300563097;-0.023914653808
53.287998199463;-2.300563097;-0.023899566382
53.467998504639;-2.300563097;-0.023899566382
53.647998809814;-2.300563097;-0.023899566382
53.82799911499;-2.300563097;-0.023899566382
54.007999420166;-2.300563097;-0.023914653808
54.187999725342;-2.300563097;-0.023899566382
54.368000030518;-2.300563097;-0.023899566382
54.548000335693;-2.300563097;-0.023899566382
54.728000640869;-2.300563097;-0.023899566382
54.908000946045;-2.300563097;-0.023884478956
55.088001251221;-2.300563097;-0.023869389668
55.268001556396;-2.300563097;-0.023884478956
55.448001861572;-2.300563097;-0.023884478956
55.627998352051;-2.300563097;-0.023884478956
55.807998657227;-2.300563097;-0.023869389668
55.987998962402;-2.300563097;-0.023869389668
56.167999267578;-2.300563097;-0.023869389668
56.347999572754;-2.300563097;-0.023884478956
56.52799987793;-2.300563097;-0.023884478956
56.708000183105;-2.300563097;-0.023869389668
56.888000488281;-2.300563097;-0.023854302242
57.068000793457;-2.300563097;-0.023869389668
57.248001098633;-2.300563097;-0.023869389668
57.428001403809;-2.300563097;-0.023869389668
57.608001708984;-2.300563097;-0.023884478956
57.787998199463;-2.300563097;-0.023899566382
57.967998504639;-2.300563097;-0.023899566382
58.147998809814;-2.300563097;-0.023899566382
58.32799911499;-2.300563097;-0.023884478956
58.507999420166;-2.300563097;-0.023869389668
58.687999725342;-2.300563097;-0.023839212954
58.868000030518;-2.300563097;-0.023839212954
59.048000335693;-2.300563097;-0.023824125528
59.228000640869;-2.300563097;-0.023824125528
59.408000946045;-2.300563097;-0.023824125528
59.588001251221;-2.300563097;-0.023824125528
59.768001556396;-2.300563097;-0.023809038103
59.948001861572;-2.300563097;-0.023793948814
60.127998352051;-2.300563097;-0.023809038103
60.307998657227;-2.300563097;-0.023809038103
60.487998962402;-2.300563097;-0.023793948814
60.667999267578;-2.300563097;-0.023793948814
60.847999572754;-2.300563097;-0.023778861389
61.02799987793;-2.300563097;-0.023778861389
61.208000183105;-2.300563097;-0.023778861389
61.388000488281;-2.300563097;-0.023778861389
61.568000793457;-2.300563097;-0.023793948814
61.748001098633;-2.300563097;-0.023778861389
61.928001403809;-2.300563097;-0.023763773963
62.108001708984;-2.300563097;-0.023763773963
62.287998199463;-2.300563097;-0.023763773963
62.467998504639;-2.300563097;-0.023763773963
62.647998809814;-2.300563097;-0.023763773963
62.82799911499;-2.300563097;-0.023748684675
63.007999420166;-2.300563097;-0.023748684675
63.187999725342;-2.300563097;-0.023748684675
63.368000030518;-2.300563097;-0.023748684675
63.548000335693;-2.300563097;-0.023748684675
63.728000640869;-2.300563097;-0.023748684675
63.908000946045;-2.300563097;-0.023733597249
64.087997436523;-2.300563097;-0.023733597249
64.267997741699;-2.300563097;-0.023718509823
64.447998046875;-2.300563097;-0.023733597249
64.627998352051;-2.300563097;-0.023733597249
64.807998657227;-2.300563097;-0.023733597249
64.987998962402;-2.300563097;-0.023733597249
65.167999267578;-2.300563097;-0.023733597249
65.347999572754;-2.300563097;-0.023733597249
65.52799987793;-2.300563097;-0.023733597249
65.708000183105;-2.300563097;-0.023718509823
65.888000488281;-2.300563097;-0.023703420535
66.068000793457;-2.300563097;-0.023703420535
66.248001098633;-2.300563097;-0.023703420535
66.428001403809;-2.300563097;-0.023703420535
66.608001708984;-2.300563097;-0.023703420535
66.78800201416;-2.300563097;-0.023703420535
66.968002319336;-2.300563097;-0.023703420535
67.148002624512;-2.300563097;-0.023703420535
67.328002929688;-2.300563097;-0.023688333109
67.508003234863;-2.300563097;-0.023688333109
67.688003540039;-2.300563097;-0.023688333109
67.86799621582;-2.300563097;-0.023673243821
68.047996520996;-2.300563097;-0.023673243821
68.227996826172;-2.300563097;-0.023673243821
68.407997131348;-2.300563097;-0.023673243821
68.587997436523;-2.300563097;-0.023673243821
68.767997741699;-2.300563097;-0.023673243821
68.947998046875;-2.300563097;-0.023658156395
69.127998352051;-2.300563097;-0.023673243821
69.307998657227;-2.300563097;-0.023658156395
69.487998962402;-2.300563097;-0.023658156395
69.667999267578;-2.300563097;-0.023658156395
69.847999572754;-2.300563097;-0.023658156395
70.02799987793;-2.300563097;-0.023658156395
70.208000183105;-2.300563097;-0.023643068969
70.388000488281;-2.300563097;-0.023643068969
70.568000793457;-2.300563097;-0.023643068969
70.748001098633;-2.300563097;-0.023627979681
70.928001403809;-2.300563097;-0.023612892255
71.108001708984;-2.300563097;-0.023612892255
71.28800201416;-2.300563097;-0.023612892255
71.468002319336;-2.300563097;-0.023612892255
71.648002624512;-2.300563097;-0.023612892255
71.828002929688;-2.300720930099;-0.023597804829
72.008003234863;-2.300563097;-0.023597804829
72.188003540039;-2.300563097;-0.023597804829
72.36799621582;-2.300563097;-0.023597804829
72.547996520996;-2.300563097;-0.023612892255
